item	site	category	subcategory	description
Fume Ultra Greatsword	Dark Souls 2 Wiki	Weapons	Ultra Greatswords	"
Ultra Greatsword forged from the soul of the Fume Knight.
The Exile swordsman Raime had the ability to expunge the black fog, but chose to live alongside it, in company of the child of dark that haunts his sword.
"
Notched Whip	Dark Souls 2 Wiki	Weapons	Whips	"
A whip covered in spikes.  Shreds skin and causes bleeding. Very effective against bare flesh, but not against enemies with armor or like protection.
"
Caitha's Chime	Dark Souls 2 Wiki	Weapons	Chimes	"
Sacred chime blessed by Caitha, goddess of tears. Hex-dedicated catalyst.  Cannot be used to cast miracles. Caitha, the goddess of tears, is known as a compassionate being that is with us in times of tragedy, but some believe that she is a demoness that guides us toward misfortune.
"
Scythe	Dark Souls 2 Wiki	Weapons	Halberds	"
""A scythe fitted with a large custom blade.Has an extended slashing reach when swung broadly, but beware, these attacks make the wielder very vulnerable.""
"
Sanctum Crossbow	Dark Souls 2 Wiki	Weapons	Crossbows	"
Crossbow wielded by sanctum knights. Strong attack fires dark bolts.  These guardian knights were sentenced to eternal stewardship of the Sanctum in a clandestine ritual carried out in the great depths, but today the sanctum receives nary visitor.   
"
Drakekeeper's Great Hammer	Dark Souls 2 Wiki	Weapons	Great Hammers	"
An extremely sturdy pitch-black great hammer.  Colossal warriors staunchly watch over the shrine, ready to defend its resident, or allow one worthy enough to be granted audience.   
"
Shotel	Dark Souls 2 Wiki	Weapons	Curved Swords	"
A uniquely-shaped curved sword.  The name of its creator is unknown, but he was clearly a true craftsman. The curved blade is designed to reach around an opponent's shield to deal damage. Use the strong attack to utilize:  Effect: shield piercing (strong attack)
"
Black Dragon Sword	Dark Souls 2 Wiki	Weapons	Straight Swords	"
In legend, this oddly-shaped straight sword is said to be forged from the black dragon's tail.  As it is told, the black dragon lost its tail to a brave warrior in a magnificent battle, and the tail was later used to forge several legendary weapons.
"
Great Club	Dark Souls 2 Wiki	Weapons	Great Hammers	"
A giant wooden club made from branches of a towering tree.  Designed to smash foes. Simple but terribly effective against common shields. 
"
Blue Dagger	Dark Souls 2 Wiki	Weapons	Daggers	"
Dagger used by fume sorcerers when a battle draws too close for comfort.An ordinary-looking dagger laced with magic. Strengthens spells, but also increases vulnerability to them.""
"
Mace of the Insolent	Dark Souls 2 Wiki	Weapons	Hammers	"
The mace of formerly high-ranking clerics. It is combined with a sacred chime, and can cast miracles and hexes with strong attack. The clerics held venerated positions once, but now, their souls wander aimlessly in the depths of a murky darkness.  Effect: use miracle and hex (strong attack) 
"
Work Hook	Dark Souls 2 Wiki	Weapons	Fist Weapons	"
A hook that covers the hand.   Clearly not intended as a weapon, but certainly sharp enough to shred an enemy's skin. 
"
Dark Pyromancy Flame	Dark Souls 2 Wiki	Weapons	Flames	"
A flame catalyst used by pyromancers. Pyromancers rouse this flame to produce various fire arts.  The flame rewards those with a thirst of power. The more Hollowed one is, the stronger its effect.  Effect: Spell power scales with Hollowing. 
"
Greatsword of The Forlorn	Dark Souls 2 Wiki	Weapons	Greatswords	"
Greatsword of the Forlorn, who wander the land of the Undead.  The King's elder brother Aldia sought to overcome the curse through means unalike his sibling's.  The Forlorn were born of Aldia's sinful infatuation. 
"
Yellow Quartz Longsword	Dark Souls 2 Wiki	Weapons	Straight Swords	"
A straight sword affixed with yellow quartz.  This longsword was found in the Iron Keep.  Breaks easily due to corrosion, but is light and still inflicts very significant damage.  In the Old Iron King's great iron keep was a vast collection of weapons,erected as a display of strength to the world.  But they were lost when the king's conceit doomed the castle to sink into a lake of fire.
"
Old Mirrah Greatsword	Dark Souls 2 Wiki	Weapons	Greatswords	"
Greatsword issued to the proud knights of Mirrah's official order.  This greatsword demands advanced skill in a rare and unique sword technique.  A tiny message is inscribed in the blade, a promise to someone special.
"
Silverblack Spear	Dark Souls 2 Wiki	Weapons	Spears	"
A silver-black spear imbued with the power of dark.  The grave wardens vowed to ensure the tranquility of those who slumber in the Undead Crypt.  If one dares disturb them, the grave wardens make no allowance for stature or riches, and will readily bury them along with the others. 
"
Bastard Sword	Dark Souls 2 Wiki	Weapons	Greatswords	"
A standard greatsword. Heavy greatswords are designed to be wielded two-handed.Normally swung in large arcs and effective against multiple foes, be wary that such attacks leave the wielder wide open.
"
